epoch,train_loss,val_acc,val_auc,val_f1
1,0.04455532168453329,0.8984297246488997,0.9642500727313877,0.6790145028831033
2,0.030683571689860908,0.925024881123521,0.9747568319493075,0.7748256393224843
3,0.02386443493962842,0.9437686608426408,0.9818404048769469,0.8460257380772143
4,0.02066847638348874,0.9490766338604445,0.9859408997360719,0.8522380875982672
5,0.01902621849604593,0.9515647462125401,0.9872803397020052,0.8758503401360545
6,0.017997129733102038,0.9515094548269379,0.9869390616516162,0.8582969785102601
7,0.01822758744882451,0.9442109919274577,0.9844438354177177,0.8598026955675976
8,0.016525261364507698,0.9672674997235431,0.992549655341309,0.9130690161527166
9,0.014005271835981303,0.9593055401968373,0.9923183274685304,0.8841674535725528
10,0.013719078080621257,0.9743447970806148,0.9949227103024308,0.9314015375517445
